cod_municipio,municipio,mesorregiao,populacao,n_ocorrencias,n_crime_rua,taxa_100k,taxa_crime_rua_100k
4306130.0,CRUZALTENSE,Noroeste Rio-grandense,1635.0,224,69,3425.076452599388,1055.045871559633
4315206.0,PUTINGA,Nordeste Rio-grandense,3747.0,512,117,3416.066186282359,780.6244995996798
4309555.0,HARMONIA,Metropolitana de Porto Alegre,5378.0,725,158,3370.211974711789,734.4737820751209
4305871.0,CORONEL BARROS,Noroeste Rio-grandense,2822.0,380,109,3366.4068036853296,965.6272147413183
4315958.0,ROLADOR,Noroeste Rio-grandense,2291.0,307,68,3350.0654735923176,742.0340462680052
4320263.0,SEGREDO,Centro Oriental Rio-grandense,6009.0,805,245,3349.142952238309,1019.3043767681811
4320677.0,SINIMBU,Centro Oriental Rio-grandense,8578.0,1130,369,3293.308463511308,1075.4255071112148
4306353.0,DEZESSEIS DE NOVEMBRO,Noroeste Rio-grandense,2507.0,330,61,3290.78579976067,608.2967690466693
4311239.0,LAGOA BONITA DO SUL,Centro Oriental Rio-grandense,2251.0,296,69,3287.427809862283,766.3260772989782
4315552.0,RIO DOS INDIOS,Noroeste Rio-grandense,2835.0,370,116,3262.786596119929,1022.9276895943563
4301958.0,BARRA FUNDA,Noroeste Rio-grandense,2498.0,326,70,3262.610088070456,700.5604483586869
4311130.0,JARI,Centro Ocidental Rio-grandense,3349.0,437,142,3262.1678112869513,1060.01791579576
4313334.0,NOVA RAMADA,Noroeste Rio-grandense,2163.0,281,55,3247.8039759593157,635.6911696717522
4311734.0,MAMPITUBA,Metropolitana de Porto Alegre,3131.0,405,88,3233.791121047588,702.6509102523155
4313003.0,NOVA BRESCIA,Centro Oriental Rio-grandense,3044.0,392,88,3219.4480946123526,722.7332457293036
4310462.0,IPIRANGA DO SUL,Noroeste Rio-grandense,1720.0,219,50,3183.139534883721,726.7441860465116
4305835.0,COQUEIRO BAIXO,Centro Oriental Rio-grandense,1290.0,164,40,3178.294573643411,775.1937984496124
4320453.0,SERIO,Centro Oriental Rio-grandense,1941.0,246,87,3168.4698608964454,1120.5564142194744
4300638.0,AMARAL FERRADOR,Sudeste Rio-grandense,5310.0,670,182,3154.425612052731,856.8738229755179
4312351.0,MONTAURI,Nordeste Rio-grandense,1499.0,189,26,3152.1014009339556,433.6224149432955
4314753.0,POCO DAS ANTAS,Metropolitana de Porto Alegre,2171.0,272,66,3132.197144173192,760.0184246890833
4323770.0,WESTFALIA,Centro Oriental Rio-grandense,3098.0,388,76,3131.052291801162,613.2989025177534
